id,read1,read2,name,genome,output,region
A12_B003801_S132,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A12_B003801_S132_R1_001.fastq.gz,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A12_B003801_S132_R2_001.fastq.gz,A12_B003801_S132,mouse/vM19,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/results_realigned,west
A12_B003841_S288,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A12_B003841_S288_R1_001.fastq.gz,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A12_B003841_S288_R2_001.fastq.gz,A12_B003841_S288,mouse/vM19,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/results_realigned,west
A12_B003842_S84,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A12_B003842_S84_R1_001.fastq.gz,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A12_B003842_S84_R2_001.fastq.gz,A12_B003842_S84,mouse/vM19,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/results_realigned,west
A12_B003846_S252,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A12_B003846_S252_R1_001.fastq.gz,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A12_B003846_S252_R2_001.fastq.gz,A12_B003846_S252,mouse/vM19,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/results_realigned,west
A12_B003899_S216,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A12_B003899_S216_R1_001.fastq.gz,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A12_B003899_S216_R2_001.fastq.gz,A12_B003899_S216,mouse/vM19,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/results_realigned,west
A12_B003907_S168,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A12_B003907_S168_R1_001.fastq.gz,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A12_B003907_S168_R2_001.fastq.gz,A12_B003907_S168,mouse/vM19,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/results_realigned,west
A12_B003909_S156,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A12_B003909_S156_R1_001.fastq.gz,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A12_B003909_S156_R2_001.fastq.gz,A12_B003909_S156,mouse/vM19,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/results_realigned,west
A12_B003910_S12,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A12_B003910_S12_R1_001.fastq.gz,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A12_B003910_S12_R2_001.fastq.gz,A12_B003910_S12,mouse/vM19,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/results_realigned,west
A12_B003914_S72,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A12_B003914_S72_R1_001.fastq.gz,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A12_B003914_S72_R2_001.fastq.gz,A12_B003914_S72,mouse/vM19,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/results_realigned,west
A13_B001188_S265,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A13_B001188_S265_R1_001.fastq.gz,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A13_B001188_S265_R2_001.fastq.gz,A13_B001188_S265,mouse/vM19,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/results_realigned,west
A13_B001190_S49,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A13_B001190_S49_R1_001.fastq.gz,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A13_B001190_S49_R2_001.fastq.gz,A13_B001190_S49,mouse/vM19,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/results_realigned,west
A13_B001242_S205,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A13_B001242_S205_R1_001.fastq.gz,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A13_B001242_S205_R2_001.fastq.gz,A13_B001242_S205,mouse/vM19,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/results_realigned,west
A13_B001263_S181,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A13_B001263_S181_R1_001.fastq.gz,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A13_B001263_S181_R2_001.fastq.gz,A13_B001263_S181,mouse/vM19,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/results_realigned,west
A13_B002330_S121,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A13_B002330_S121_R1_001.fastq.gz,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A13_B002330_S121_R2_001.fastq.gz,A13_B002330_S121,mouse/vM19,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/results_realigned,west
A13_B002877_S1,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A13_B002877_S1_R1_001.fastq.gz,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A13_B002877_S1_R2_001.fastq.gz,A13_B002877_S1,mouse/vM19,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/results_realigned,west
A13_B002892_S37,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A13_B002892_S37_R1_001.fastq.gz,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A13_B002892_S37_R2_001.fastq.gz,A13_B002892_S37,mouse/vM19,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/results_realigned,west
A13_B002898_S97,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A13_B002898_S97_R1_001.fastq.gz,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A13_B002898_S97_R2_001.fastq.gz,A13_B002898_S97,mouse/vM19,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/results_realigned,west
A13_B003801_S133,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A13_B003801_S133_R1_001.fastq.gz,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A13_B003801_S133_R2_001.fastq.gz,A13_B003801_S133,mouse/vM19,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/results_realigned,west
A13_B003841_S289,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A13_B003841_S289_R1_001.fastq.gz,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A13_B003841_S289_R2_001.fastq.gz,A13_B003841_S289,mouse/vM19,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/results_realigned,west
A13_B003842_S85,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A13_B003842_S85_R1_001.fastq.gz,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A13_B003842_S85_R2_001.fastq.gz,A13_B003842_S85,mouse/vM19,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/results_realigned,west
A13_B003846_S253,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A13_B003846_S253_R1_001.fastq.gz,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A13_B003846_S253_R2_001.fastq.gz,A13_B003846_S253,mouse/vM19,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/results_realigned,west
A13_B003899_S217,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A13_B003899_S217_R1_001.fastq.gz,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A13_B003899_S217_R2_001.fastq.gz,A13_B003899_S217,mouse/vM19,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/results_realigned,west
A13_B003907_S169,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A13_B003907_S169_R1_001.fastq.gz,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/fastqs/A13_B003907_S169_R2_001.fastq.gz,A13_B003907_S169,mouse/vM19,s3://czb-maca/Plate_seq/24_month/180626_A00111_0166_BH5LNVDSXX/results_realigned,west
