id,read1,read2,name,genome,output,region
B17_B001263_S41,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B17_B001263_S41_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B17_B001263_S41_R2_001.fastq.gz,B17_B001263_S41,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
B18_B001263_S42,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B18_B001263_S42_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B18_B001263_S42_R2_001.fastq.gz,B18_B001263_S42,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
B19_B001263_S43,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B19_B001263_S43_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B19_B001263_S43_R2_001.fastq.gz,B19_B001263_S43,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
B1_B001263_S25,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B1_B001263_S25_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B1_B001263_S25_R2_001.fastq.gz,B1_B001263_S25,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
B20_B001263_S44,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B20_B001263_S44_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B20_B001263_S44_R2_001.fastq.gz,B20_B001263_S44,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
B21_B001263_S45,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B21_B001263_S45_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B21_B001263_S45_R2_001.fastq.gz,B21_B001263_S45,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
B22_B001263_S46,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B22_B001263_S46_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B22_B001263_S46_R2_001.fastq.gz,B22_B001263_S46,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
B2_B001263_S26,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B2_B001263_S26_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B2_B001263_S26_R2_001.fastq.gz,B2_B001263_S26,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
B3_B001263_S27,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B3_B001263_S27_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B3_B001263_S27_R2_001.fastq.gz,B3_B001263_S27,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
B4_B001263_S28,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B4_B001263_S28_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B4_B001263_S28_R2_001.fastq.gz,B4_B001263_S28,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
B5_B001263_S29,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B5_B001263_S29_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B5_B001263_S29_R2_001.fastq.gz,B5_B001263_S29,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
B6_B001263_S30,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B6_B001263_S30_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B6_B001263_S30_R2_001.fastq.gz,B6_B001263_S30,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
B7_B001263_S31,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B7_B001263_S31_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B7_B001263_S31_R2_001.fastq.gz,B7_B001263_S31,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
B8_B001263_S32,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B8_B001263_S32_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B8_B001263_S32_R2_001.fastq.gz,B8_B001263_S32,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
B9_B001263_S33,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B9_B001263_S33_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/B9_B001263_S33_R2_001.fastq.gz,B9_B001263_S33,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
C10_B001263_S58,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C10_B001263_S58_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C10_B001263_S58_R2_001.fastq.gz,C10_B001263_S58,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
C11_B001263_S59,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C11_B001263_S59_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C11_B001263_S59_R2_001.fastq.gz,C11_B001263_S59,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
C12_B001263_S60,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C12_B001263_S60_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C12_B001263_S60_R2_001.fastq.gz,C12_B001263_S60,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
C13_B001263_S61,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C13_B001263_S61_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C13_B001263_S61_R2_001.fastq.gz,C13_B001263_S61,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
C14_B001263_S62,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C14_B001263_S62_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C14_B001263_S62_R2_001.fastq.gz,C14_B001263_S62,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
C15_B001263_S63,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C15_B001263_S63_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C15_B001263_S63_R2_001.fastq.gz,C15_B001263_S63,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
C16_B001263_S64,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C16_B001263_S64_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C16_B001263_S64_R2_001.fastq.gz,C16_B001263_S64,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
C17_B001263_S65,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C17_B001263_S65_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C17_B001263_S65_R2_001.fastq.gz,C17_B001263_S65,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
C18_B001263_S66,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C18_B001263_S66_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C18_B001263_S66_R2_001.fastq.gz,C18_B001263_S66,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
C19_B001263_S67,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C19_B001263_S67_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C19_B001263_S67_R2_001.fastq.gz,C19_B001263_S67,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
C1_B001263_S49,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C1_B001263_S49_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C1_B001263_S49_R2_001.fastq.gz,C1_B001263_S49,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
C20_B001263_S68,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C20_B001263_S68_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C20_B001263_S68_R2_001.fastq.gz,C20_B001263_S68,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
C21_B001263_S69,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C21_B001263_S69_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C21_B001263_S69_R2_001.fastq.gz,C21_B001263_S69,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
C22_B001263_S70,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C22_B001263_S70_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C22_B001263_S70_R2_001.fastq.gz,C22_B001263_S70,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
C2_B001263_S50,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C2_B001263_S50_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C2_B001263_S50_R2_001.fastq.gz,C2_B001263_S50,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
C3_B001263_S51,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C3_B001263_S51_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C3_B001263_S51_R2_001.fastq.gz,C3_B001263_S51,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
C4_B001263_S52,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C4_B001263_S52_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C4_B001263_S52_R2_001.fastq.gz,C4_B001263_S52,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
C5_B001263_S53,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C5_B001263_S53_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C5_B001263_S53_R2_001.fastq.gz,C5_B001263_S53,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
C6_B001263_S54,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C6_B001263_S54_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C6_B001263_S54_R2_001.fastq.gz,C6_B001263_S54,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
C7_B001263_S55,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C7_B001263_S55_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C7_B001263_S55_R2_001.fastq.gz,C7_B001263_S55,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
C8_B001263_S56,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C8_B001263_S56_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C8_B001263_S56_R2_001.fastq.gz,C8_B001263_S56,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
C9_B001263_S57,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C9_B001263_S57_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/C9_B001263_S57_R2_001.fastq.gz,C9_B001263_S57,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
D10_B001263_S82,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/D10_B001263_S82_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/D10_B001263_S82_R2_001.fastq.gz,D10_B001263_S82,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
D11_B001263_S83,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/D11_B001263_S83_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/D11_B001263_S83_R2_001.fastq.gz,D11_B001263_S83,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
D12_B001263_S84,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/D12_B001263_S84_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/D12_B001263_S84_R2_001.fastq.gz,D12_B001263_S84,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
D13_B001263_S85,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/D13_B001263_S85_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/D13_B001263_S85_R2_001.fastq.gz,D13_B001263_S85,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
D14_B001263_S86,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/D14_B001263_S86_R1_001.fastq.gz,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/rawdata/D14_B001263_S86_R2_001.fastq.gz,D14_B001263_S86,mouse/vM19,s3://czbiohub-seqbot/fastqs/180828_M05295_0162_000000000-G2J36/results_test,west
